groupname,overallocation,conflicts,undersupport,unwilling,unpreferred
DanVivRu,1,0,17,5,0
DanVivRu,8,0,5,13,0
DanVivRu,7,0,0,17,1
DanVivRu,6,3,9,4,4
DanVivRu,3,2,13,5,1
DanVivRu,2,1,2,17,1
DanVivRu,2,0,3,18,1
DanVivRu,0,0,8,9,9
DanVivRu,7,1,2,12,3
DanVivRu,1,0,9,7,4
DanVivRu,6,0,0,18,8
DanVivRu,9,2,5,8,1
DanVivRu,0,0,10,9,3
DanVivRu,3,0,5,8,10
DanVivRu,8,0,1,16,0
DanVivRu,9,2,3,10,1
DanVivRu,8,3,3,7,4
DanVivRu,5,1,1,10,11
DanVivRu,6,2,5,6,4
DanVivRu,0,0,4,20,2
DanVivRu,6,2,5,4,12
DanVivRu,10,2,4,9,0
DanVivRu,3,0,10,8,1
DanVivRu,7,3,3,6,12
DanVivRu,6,1,1,12,6
DanVivRu,5,1,4,6,6
DanVivRu,5,2,3,10,4
DanVivRu,3,2,10,7,2
DanVivRu,7,2,4,9,2
DanVivRu,2,1,15,5,0
DanVivRu,7,3,2,7,12
DanVivRu,7,1,4,7,5
DanVivRu,5,0,2,18,0
DanVivRu,0,0,16,3,5
DanVivRu,0,1,11,7,7
DanVivRu,5,1,5,10,2
DanVivRu,6,1,9,6,2
DanVivRu,6,2,1,9,12
DanVivRu,2,1,3,10,6
DanVivRu,5,2,1,17,1
DanVivRu,4,2,8,4,10
DanVivRu,3,1,7,8,3
DanVivRu,3,0,1,21,0
DanVivRu,9,1,2,15,0
DanVivRu,6,2,1,11,6
DanVivRu,3,1,7,10,2
DanVivRu,4,3,0,16,3
DanVivRu,4,3,12,6,1
DanVivRu,9,0,0,10,14
DanVivRu,4,1,4,9,5
DanVivRu,1,0,10,7,3
DanVivRu,1,0,2,13,9
DanVivRu,3,1,2,11,5
DanVivRu,7,2,6,7,2
DanVivRu,9,1,1,13,2
DanVivRu,1,0,12,4,5
DanVivRu,9,3,10,4,1
DanVivRu,4,1,6,8,4
DanVivRu,1,0,8,9,3
DanVivRu,4,0,5,12,1
DanVivRu,7,0,5,9,2
DanVivRu,0,0,9,9,4
DanVivRu,4,0,2,12,7
DanVivRu,5,2,8,3,10
DanVivRu,5,1,10,7,1
DanVivRu,2,0,8,7,5
DanVivRu,3,0,3,10,10
DanVivRu,7,2,2,10,3
DanVivRu,1,0,8,13,0
DanVivRu,10,2,4,8,1
DanVivRu,2,1,1,17,2
DanVivRu,9,1,5,7,2
DanVivRu,0,1,3,17,3
DanVivRu,2,0,12,3,5
DanVivRu,3,0,6,8,5
DanVivRu,1,0,16,2,2
DanVivRu,2,0,12,6,2
DanVivRu,5,0,11,7,0
DanVivRu,9,1,6,7,1
DanVivRu,7,4,10,4,1
DanVivRu,5,0,2,14,3
DanVivRu,2,0,3,11,6
DanVivRu,2,0,5,13,2
DanVivRu,8,0,1,9,14
DanVivRu,1,1,15,5,1
DanVivRu,5,1,0,29,0
DanVivRu,6,0,2,17,0
DanVivRu,1,0,3,12,9
DanVivRu,5,1,0,17,6
DanVivRu,3,0,3,13,5
DanVivRu,7,1,3,9,4
DanVivRu,7,1,4,8,3
DanVivRu,7,0,0,19,0
DanVivRu,1,0,3,14,7
DanVivRu,3,0,4,15,1
DanVivRu,2,0,4,18,0
DanVivRu,5,1,2,10,10
DanVivRu,1,0,3,17,4
DanVivRu,7,0,2,16,0
DanVivRu,7,2,4,4,13
DanVivRu,0,0,4,26,0
DanVivRu,1,0,15,7,0
DanVivRu,0,0,4,14,6
DanVivRu,4,3,10,3,4
DanVivRu,6,0,1,18,0
DanVivRu,1,1,13,5,2
DanVivRu,11,2,3,9,1
DanVivRu,4,1,4,7,6
DanVivRu,0,0,3,13,8
DanVivRu,6,2,10,6,1
DanVivRu,3,2,11,1,10
DanVivRu,4,1,5,5,10
DanVivRu,3,0,5,9,6
DanVivRu,5,1,3,12,3
DanVivRu,8,3,10,5,1
DanVivRu,3,0,9,9,1
DanVivRu,2,0,8,11,0
DanVivRu,2,1,2,13,8
DanVivRu,5,2,7,4,10
DanVivRu,5,2,5,8,3
DanVivRu,4,1,4,5,12
DanVivRu,1,0,2,28,0
DanVivRu,2,1,0,18,2
DanVivRu,5,2,0,14,8
DanVivRu,7,4,11,3,1
DanVivRu,7,1,3,8,5
DanVivRu,3,3,1,15,3
DanVivRu,7,1,3,11,2
DanVivRu,3,1,9,3,11
DanVivRu,4,1,3,8,11
DanVivRu,0,0,12,9,0
DanVivRu,1,0,7,10,4
DanVivRu,2,2,2,13,4
DanVivRu,11,2,2,10,1
DanVivRu,5,0,3,17,0
DanVivRu,10,2,1,12,1
DanVivRu,1,0,10,9,1
DanVivRu,2,0,11,6,3
DanVivRu,0,0,8,14,0
DanVivRu,0,0,5,25,0
DanVivRu,4,2,1,15,3
DanVivRu,0,0,13,8,1
DanVivRu,6,0,3,15,0
DanVivRu,3,1,7,5,9
DanVivRu,5,2,1,11,9
DanVivRu,2,1,6,15,0
DanVivRu,9,2,4,10,0
DanVivRu,1,0,5,18,0
DanVivRu,4,1,0,15,7
DanVivRu,7,1,0,16,4
DanVivRu,0,0,8,10,4
DanVivRu,5,3,5,4,13
DanVivRu,2,2,3,12,4
DanVivRu,4,0,12,7,0
DanVivRu,5,4,1,10,9
DanVivRu,1,0,18,4,0
DanVivRu,1,0,4,25,0
DanVivRu,7,2,5,4,11
DanVivRu,8,1,4,11,0
DanVivRu,10,2,5,7,1
DanVivRu,1,1,9,6,4
DanVivRu,0,0,5,12,6
DanVivRu,6,1,0,14,5
DanVivRu,1,0,6,9,6
DanVivRu,4,0,1,14,8
DanVivRu,12,1,2,13,0
DanVivRu,1,1,3,15,2
DanVivRu,2,0,3,14,5
DanVivRu,2,0,7,12,0
DanVivRu,2,1,4,9,6
DanVivRu,5,1,3,11,4
DanVivRu,5,3,8,4,9
DanVivRu,5,2,6,7,3
DanVivRu,4,0,9,8,2
DanVivRu,1,0,1,18,5
DanVivRu,0,0,5,17,1
DanVivRu,5,1,11,6,1
DanVivRu,2,0,5,9,7
DanVivRu,2,0,14,2,4
DanVivRu,1,0,2,27,1
DanVivRu,8,2,3,4,14
DanVivRu,5,2,6,6,4
DanVivRu,0,0,19,4,0
DanVivRu,4,2,8,3,11
DanVivRu,6,0,3,9,13
DanVivRu,4,0,5,8,7
DanVivRu,7,1,5,7,3
DanVivRu,3,2,2,15,2
DanVivRu,2,0,4,16,1
DanVivRu,4,0,2,15,3
DanVivRu,4,1,6,5,9
DanVivRu,3,2,6,9,2
DanVivRu,2,0,13,3,4
DanVivRu,4,2,12,2,8
DanVivRu,1,0,4,17,1
DanVivRu,5,3,2,10,8
DanVivRu,4,0,6,9,3
DanVivRu,1,0,3,19,1
DanVivRu,2,0,8,6,6
DanVivRu,1,1,10,5,5
DanVivRu,1,1,8,7,4
DanVivRu,3,1,12,2,9
DanVivRu,3,0,4,9,7
DanVivRu,7,1,5,11,0
DanVivRu,3,1,6,9,3
DanVivRu,10,1,0,16,1
DanVivRu,7,1,1,9,12
DanVivRu,1,0,16,6,0
DanVivRu,4,2,9,3,10
DanVivRu,11,3,1,13,0
DanVivRu,4,0,7,10,1
DanVivRu,5,0,4,11,1
DanVivRu,3,0,2,14,5
DanVivRu,5,4,0,11,9
DanVivRu,3,0,13,8,0
DanVivRu,5,1,3,15,1
DanVivRu,5,0,10,8,0
DanVivRu,6,1,9,7,0
DanVivRu,1,0,15,3,2
DanVivRu,3,1,1,14,4
DanVivRu,3,2,13,2,3
DanVivRu,0,0,15,7,1
DanVivRu,2,0,6,10,4
DanVivRu,6,1,1,11,7
DanVivRu,6,2,4,8,3
DanVivRu,6,1,1,16,2
DanVivRu,4,0,9,6,3
DanVivRu,3,2,13,6,0
DanVivRu,7,1,8,7,0
DanVivRu,7,1,0,18,0
DanVivRu,5,2,1,12,5
DanVivRu,9,2,2,11,1
DanVivRu,0,0,16,7,0
DanVivRu,0,0,4,13,7
DanVivRu,1,0,11,8,1
DanVivRu,4,0,8,7,3
DanVivRu,6,2,4,6,5
DanVivRu,0,0,20,3,0
DanVivRu,3,0,0,28,2
DanVivRu,1,1,5,10,4
DanVivRu,0,0,17,6,0
DanVivRu,6,2,6,6,3
DanVivRu,3,0,6,13,0
DanVivRu,7,1,4,12,0
DanVivRu,8,2,0,11,10
DanVivRu,3,1,0,16,9
DanVivRu,8,1,0,10,12
DanVivRu,1,1,5,11,3
DanVivRu,0,0,2,22,2
DanVivRu,4,0,6,11,1
DanVivRu,3,2,4,10,2
DanVivRu,2,0,10,6,4
DanVivRu,3,0,6,10,3
DanVivRu,8,3,11,4,1
DanVivRu,6,2,5,5,5
DanVivRu,2,1,4,16,0
DanVivRu,6,1,8,7,2
DanVivRu,2,0,2,15,5
DanVivRu,1,1,10,6,3
DanVivRu,1,0,9,9,2
DanVivRu,3,0,3,15,3
DanVivRu,1,0,9,8,3
DanVivRu,6,1,5,8,3
DanVivRu,0,0,3,21,2
DanVivRu,2,0,9,5,5
DanVivRu,4,2,3,9,9
DanVivRu,6,1,8,8,0
DanVivRu,3,0,7,9,3
DanVivRu,1,0,14,4,2
DanVivRu,5,0,2,13,4
DanVivRu,4,0,0,28,1
DanVivRu,8,2,4,5,11
DanVivRu,6,3,1,10,9
DanVivRu,8,2,0,13,4
DanVivRu,4,0,7,7,4
DanVivRu,4,1,7,6,5
DanVivRu,0,0,9,12,0
DanVivRu,4,2,2,13,3
DanVivRu,2,0,0,22,3
DanVivRu,2,2,6,9,4
DanVivRu,9,2,0,15,2
DanVivRu,5,1,10,6,2
DanVivRu,1,0,7,16,0
DanVivRu,7,1,2,9,5
DanVivRu,3,2,3,15,1
DanVivRu,0,0,7,10,10
DanVivRu,7,3,12,3,1
DanVivRu,5,2,7,3,11
DanVivRu,5,0,1,12,7
DanVivRu,6,1,6,9,1
DanVivRu,1,0,1,14,9
DanVivRu,4,1,5,9,4
DanVivRu,1,0,2,18,4
DanVivRu,3,0,3,16,1
DanVivRu,2,0,1,17,6
DanVivRu,2,0,6,12,1
DanVivRu,0,0,6,16,1
DanVivRu,4,0,8,9,1
DanVivRu,13,2,1,14,0
DanVivRu,1,0,1,23,2
DanVivRu,2,0,10,8,2
DanVivRu,8,4,1,11,2
DanVivRu,1,0,6,17,0
DanVivRu,9,3,2,8,4
DanVivRu,3,1,5,5,11
DanVivRu,4,0,8,5,6
DanVivRu,8,3,10,4,2
DanVivRu,1,1,2,16,2
DanVivRu,4,0,3,18,0
DanVivRu,7,0,2,9,14
DanVivRu,1,0,3,16,5
DanVivRu,4,0,6,6,10
DanVivRu,3,0,2,17,1
DanVivRu,10,2,6,6,1
DanVivRu,8,3,3,5,13
DanVivRu,7,2,3,10,2
DanVivRu,4,0,3,10,7
DanVivRu,3,2,13,1,8
DanVivRu,2,0,5,11,3
DanVivRu,8,2,6,7,1
DanVivRu,3,1,11,2,10
DanVivRu,3,1,9,6,3
DanVivRu,2,2,4,11,4
DanVivRu,1,1,6,7,5
DanVivRu,8,2,3,8,4
DanVivRu,5,1,4,15,0
DanVivRu,1,2,3,19,0
DanVivRu,1,0,2,17,5
DanVivRu,3,0,8,6,4
DanVivRu,0,0,18,5,1
DanVivRu,8,1,2,12,2
DanVivRu,3,0,7,11,1
DanVivRu,2,0,10,4,5
DanVivRu,9,1,0,17,0
DanVivRu,6,0,7,6,6
DanVivRu,7,0,5,10,1
DanVivRu,5,1,2,16,1
DanVivRu,11,4,0,13,2
DanVivRu,0,0,16,6,1
DanVivRu,2,0,3,16,3
DanVivRu,0,0,11,8,2
DanVivRu,7,0,6,9,1
DanVivRu,4,1,2,9,11
DanVivRu,2,0,6,16,0
DanVivRu,1,0,4,12,3
DanVivRu,9,2,5,9,0
DanVivRu,2,1,2,14,3
DanVivRu,3,2,12,1,9
DanVivRu,2,2,12,3,3
DanVivRu,2,1,9,4,8
DanVivRu,9,3,9,5,1
DanVivRu,7,3,1,8,12
DanVivRu,0,1,17,4,1
DanVivRu,0,1,4,16,3
DanVivRu,3,1,8,7,3
DanVivRu,4,2,0,17,5
DanVivRu,1,1,4,15,1
DanVivRu,2,0,6,8,7
DanVivRu,2,0,1,21,3
DanVivRu,0,0,7,15,1
DanVivRu,1,0,6,15,1
DanVivRu,7,0,2,14,1
DanVivRu,2,1,14,6,0
DanVivRu,8,2,4,9,1
DanVivRu,7,1,3,10,3
DanVivRu,0,0,17,5,2
DanVivRu,7,1,6,8,0
DanVivRu,6,1,5,10,1
DanVivRu,3,1,2,18,0
DanVivRu,3,1,6,5,10
DanVivRu,9,2,2,10,2
DanVivRu,6,1,2,10,7
DanVivRu,7,0,1,17,0
DanVivRu,0,0,3,27,0
DanVivRu,10,2,1,11,2
DanVivRu,2,2,3,16,0
DanVivRu,2,0,4,14,2
DanVivRu,5,2,9,3,9
DanVivRu,2,2,9,10,1
DanVivRu,0,0,17,2,5
DanVivRu,7,2,0,15,4
DanVivRu,9,1,0,11,5
DanVivRu,1,1,16,4,1
DanVivRu,5,0,9,9,0
DanVivRu,5,1,3,13,2
DanVivRu,4,1,5,7,5
DanVivRu,1,0,5,14,2
DanVivRu,3,1,5,6,6
DanVivRu,1,0,7,14,1
DanVivRu,7,2,5,10,0
DanVivRu,7,0,1,10,14
DanVivRu,3,2,10,2,10
DanVivRu,2,0,3,25,0
DanVivRu,7,0,3,8,14
DanVivRu,3,0,2,20,0
DanVivRu,9,3,4,8,1
DanVivRu,2,0,2,17,3
DanVivRu,2,2,2,17,0
DanVivRu,6,2,2,10,6
DanVivRu,5,1,3,10,5
DanVivRu,4,0,1,16,3
DanVivRu,2,0,7,7,6
DanVivRu,2,0,5,17,0
DanVivRu,6,0,3,12,1
DanVivRu,3,0,10,5,3
DanVivRu,2,0,13,5,2
DanVivRu,8,1,5,9,1
DanVivRu,7,2,1,10,6
DanVivRu,2,0,9,7,3
DanVivRu,2,0,11,7,1
DanVivRu,4,0,0,19,6
DanVivRu,0,0,4,21,1
DanVivRu,4,1,4,10,4
DanVivRu,10,3,3,9,1
DanVivRu,0,1,16,5,1
DanVivRu,4,2,2,10,10
DanVivRu,0,1,7,8,8
DanVivRu,0,0,7,11,2
DanVivRu,9,1,4,10,1
DanVivRu,5,3,10,4,3
DanVivRu,4,0,10,7,2
DanVivRu,3,0,1,16,5
DanVivRu,9,0,1,10,13
DanVivRu,1,0,0,20,8
DanVivRu,4,0,1,15,5
DanVivRu,2,5,5,7,9
DanVivRu,0,1,10,8,7
DanVivRu,8,1,1,10,5
DanVivRu,1,1,12,6,2
DanVivRu,2,0,4,10,6
DanVivRu,4,3,9,2,11
DanVivRu,3,0,3,19,0
DanVivRu,6,1,5,12,0
DanVivRu,3,3,12,2,3
DanVivRu,1,0,3,15,6
DanVivRu,2,0,14,3,3
DanVivRu,8,1,1,15,1
DanVivRu,4,0,9,4,6
DanVivRu,10,2,2,12,0
DanVivRu,5,2,3,9,5
DanVivRu,5,0,4,16,0
DanVivRu,6,1,6,10,0
DanVivRu,6,1,3,9,5
DanVivRu,7,1,5,8,2
DanVivRu,1,0,4,11,9
DanVivRu,0,0,6,24,0
DanVivRu,6,0,4,14,0
DanVivRu,2,0,12,4,4
DanVivRu,6,2,7,5,2
DanVivRu,5,0,7,8,1
DanVivRu,1,1,3,13,7
DanVivRu,11,2,0,14,2
DanVivRu,2,0,12,5,3
DanVivRu,3,1,6,4,11
DanVivRu,2,0,1,28,1
DanVivRu,4,0,4,17,0
DanVivRu,7,2,3,9,3
DanVivRu,6,1,1,17,1
DanVivRu,5,0,8,10,0
DanVivRu,1,0,19,3,0
DanVivRu,6,1,7,9,0
DanVivRu,3,1,12,3,4
DanVivRu,0,0,10,11,0
DanVivRu,4,1,10,3,10
DanVivRu,3,1,3,9,11
DanVivRu,4,1,3,14,2
DanVivRu,1,1,11,7,2
DanVivRu,4,0,0,27,2
DanVivRu,5,1,3,7,6
DanVivRu,4,2,10,3,9
DanVivRu,1,1,5,8,5
DanVivRu,5,2,7,6,3
DanVivRu,1,1,8,8,3
DanVivRu,1,0,5,10,6
DanVivRu,6,3,1,9,10
DanVivRu,3,0,5,14,0
DanVivRu,6,1,4,10,2
DanVivRu,4,0,11,6,2
DanVivRu,8,4,2,10,2
DanVivRu,1,2,11,4,9
DanVivRu,5,2,2,10,9
DanVivRu,6,1,2,8,12
DanVivRu,1,0,13,6,1
DanVivRu,0,0,5,16,2
DanVivRu,8,2,7,7,0
DanVivRu,7,2,1,12,3
DanVivRu,6,2,0,18,1
DanVivRu,1,0,12,7,1
DanVivRu,0,0,6,15,2
DanVivRu,2,0,11,5,4
DanVivRu,3,1,8,5,8
DanVivRu,5,0,2,11,11
DanVivRu,0,0,10,10,1
DanVivRu,1,1,6,10,3
DanVivRu,9,3,9,4,2
DanVivRu,7,2,4,10,1
DanVivRu,2,0,5,15,1
DanVivRu,2,1,8,5,9
DanVivRu,0,0,11,10,0
DanVivRu,7,1,1,13,4
DanVivRu,1,0,2,14,8
DanVivRu,5,0,0,25,2
DanVivRu,7,0,4,7,14
DanVivRu,9,1,3,11,1
DanVivRu,5,2,4,9,4
DanVivRu,0,0,7,23,0
DanVivRu,2,1,4,10,5
DanVivRu,4,0,3,13,3
DanVivRu,5,0,1,18,2
DanVivRu,5,1,6,11,0
DanVivRu,1,0,8,8,5
DanVivRu,0,0,18,4,2
DanVivRu,1,0,10,10,0
DanVivRu,0,0,12,7,2
DanVivRu,0,0,6,11,3
DanVivRu,4,3,10,6,2
DanVivRu,0,0,5,15,3
DanVivRu,8,3,5,8,1
DanVivRu,2,0,2,23,1
DanVivRu,6,1,2,12,4
DanVivRu,1,1,7,9,3
DanVivRu,8,1,0,14,3
DanVivRu,2,0,8,8,3
DanVivRu,2,0,8,10,2
DanVivRu,1,0,13,4,4
DanVivRu,2,1,3,17,0
DanVivRu,8,1,3,14,0
DanVivRu,5,1,2,14,2
DanVivRu,9,2,4,8,2
DanVivRu,1,0,6,13,2
DanVivRu,3,2,11,6,2
DanVivRu,7,4,9,5,1
DanVivRu,3,1,9,4,6
DanVivRu,7,1,2,8,6
DanVivRu,4,2,11,2,9
DanVivRu,5,0,5,7,12
DanVivRu,6,2,6,5,4
DanVivRu,6,0,2,10,13
DanVivRu,5,2,0,16,3
DanVivRu,10,2,5,8,0
DanVivRu,8,1,4,9,2
DanVivRu,1,0,6,10,5
DanVivRu,3,0,10,4,4
DanVivRu,0,0,19,3,2
DanVivRu,1,1,3,16,1
DanVivRu,0,0,21,2,0
DanVivRu,4,0,1,19,2
DanVivRu,3,2,1,13,8
DanVivRu,3,0,6,7,7
DanVivRu,2,0,7,9,4
DanVivRu,5,1,4,8,5
DanVivRu,0,0,15,4,5
DanVivRu,5,2,1,13,4
DanVivRu,5,0,4,8,13
DanVivRu,8,2,3,9,2
DanVivRu,2,2,4,13,2
DanVivRu,1,0,3,26,0
DanVivRu,7,2,4,7,4
DanVivRu,2,1,3,13,3
DanVivRu,4,0,12,5,2
DanVivRu,3,2,11,4,3
DanVivRu,1,0,7,9,5
DanVivRu,2,2,14,1,8
DanVivRu,6,1,0,19,1
DanVivRu,5,1,8,9,0
DanVivRu,2,0,7,6,7
DanVivRu,6,2,0,10,12
DanVivRu,0,1,6,9,8
DanVivRu,2,2,5,14,1
DanVivRu,3,2,14,5,0
DanVivRu,6,1,6,7,3
DanVivRu,3,5,4,8,9
DanVivRu,4,4,2,10,9
DanVivRu,5,3,2,8,10
DanVivRu,5,0,6,10,1
DanVivRu,8,4,0,9,11
DanVivRu,9,2,3,11,0
DanVivRu,1,1,4,19,0
DanVivRu,2,0,14,8,0
DanVivRu,6,3,2,9,9
DanVivRu,4,1,1,18,1
DanVivRu,7,2,8,6,0
DanVivRu,8,2,3,6,11
DanVivRu,2,0,13,4,3
DanVivRu,4,3,11,3,3
DanVivRu,0,0,14,4,6
DanVivRu,3,2,3,14,2
DanVivRu,2,0,7,8,5
DanVivRu,9,2,1,9,6
DanVivRu,4,3,2,16,1
DanVivRu,8,1,5,10,0
DanVivRu,3,0,9,5,4
DanVivRu,5,1,7,10,0
DanVivRu,2,1,14,3,2
DanVivRu,3,2,5,9,3
DanVivRu,1,0,14,3,4
DanVivRu,2,0,2,26,0
DanVivRu,4,1,3,9,10
